,im,label
290,[0.57371635],1
291,[0.57286994],1
292,[0.43089063],1
293,[0.49712309],1
294,[0.93069931],1
295,[0.38892413],1
296,[0.49182462],1
297,[0.88464777],1
298,[0.38657509],1
299,[0.32369469],1
300,[0.91311299],1
301,[0.35044057],1
302,[0.85954691],1
303,[0.4535805],1
304,[0.65068414],1
305,[0.65502522],1
306,[0.46038896],1
307,[0.38653546],1
308,[0.5908033],1
309,[0.48406442],1
310,[0.77296167],1
311,[0.54603523],1
312,[0.42069899],1
313,[0.42968979],1
314,[0.63811697],1
315,[0.26903369],1
316,[0.4630773],1
317,[0.38736355],1
318,[0.40662874],1
319,[0.32735237],1
320,[0.37430361],1
321,[0.49475231],1
322,[0.43537238],1
323,[0.89158167],1
324,[0.40566927],1
325,[0.3537354],1
326,[0.95881542],1
327,[0.31354408],1
328,[0.38973692],1
329,[0.39412689],1
330,[0.31781155],1
331,[0.37124009],1
332,[0.38985245],1
333,[0.4326629],1
334,[0.36753619],1
335,[0.46433929],1
336,[0.53440144],1
337,[0.37885637],1
338,[0.34057915],1
339,[0.3488585],1
340,[0.45899702],1
341,[0.22694968],1
342,[0.35833643],1
343,[0.29167825],1
344,[0.36176878],1
345,[0.64937764],1
346,[0.51338133],1
347,[0.42841906],1
348,[0.40935832],1
349,[0.46508388],1
350,[0.26313974],1
351,[0.70751239],1
352,[0.37708323],1
353,[0.31973181],1
354,[0.37275104],1
355,[0.41464446],1
356,[0.32631562],1
357,[0.36269965],1
358,[0.54925841],1
359,[0.27620545],1
360,[0.28338179],1
361,[0.33968395],1
362,[0.30555669],1
363,[0.38853745],1
364,[0.34658223],1
365,[0.48527787],1
366,[0.39990536],1
367,[0.37218916],1
368,[0.26352099],1
369,[0.44962317],1
370,[0.44924039],1
371,[0.27781695],1
372,[0.37256105],1
373,[0.45952596],1
374,[0.39644535],1
375,[0.39219167],1
376,[0.40000951],1
377,[0.33121464],1
378,[0.27208809],1
379,[0.48346532],1
380,[0.3784224],1
381,[0.41775197],1
382,[0.35854466],1
383,[0.25904128],1
384,[0.33772994],1
385,[0.38462291],1
386,[0.3808885],1
387,[0.34651305],1
388,[0.40375805],1
389,[0.39649272],1
390,[0.30579559],1
391,[0.28397112],1
392,[0.36818871],1
393,[0.37546058],1
394,[0.48128785],1
395,[0.36591545],1
396,[0.94417901],1
397,[0.29300176],1
398,[0.13881153],1
399,[0.46625117],1
400,[0.38410712],1
401,[0.48013446],1
402,[0.42739684],1
403,[0.497954],1
404,[0.46822963],1
405,[0.49858088],1
406,[0.23947223],1
407,[0.48501261],1
