,scores,labels
245,[[0.31378884]],0
246,[[0.27270022]],0
247,[[0.30316959]],0
248,[[0.34337688]],0
249,[[0.26648268]],0
250,[[0.22916729]],0
251,[[0.33590835]],0
252,[[0.37894524]],0
253,[[0.358935]],0
254,[[0.22236368]],0
255,[[0.21096992]],0
256,[[0.25281343]],0
257,[[0.2797561]],0
258,[[0.26884066]],0
259,[[0.30662404]],0
260,[[0.21237711]],0
261,[[0.20195618]],0
262,[[0.19252307]],0
263,[[0.19922128]],0
264,[[0.23420573]],0
265,[[0.19858122]],0
266,[[0.24401573]],0
267,[[0.41458746]],0
268,[[0.22240125]],0
269,[[0.34719663]],0
270,[[0.2657779]],0
271,[[0.30386847]],0
272,[[0.24742221]],0
273,[[0.20743751]],0
274,[[0.20967773]],0
275,[[0.22607111]],0
276,[[0.52280827]],0
277,[[0.23808225]],0
278,[[0.29844903]],0
279,[[0.28970796]],0
280,[[0.25745761]],0
281,[[0.23021278]],0
282,[[0.20326077]],0
283,[[0.22993016]],0
284,[[0.23538007]],0
285,[[0.26066784]],0
286,[[0.22221833]],0
287,[[0.20604164]],0
288,[[0.18728282]],0
289,[[0.20483981]],0
290,[[0.18683113]],0
291,[[0.28683207]],0
292,[[0.46756264]],0
293,[[0.48964376]],0
294,[[0.24312649]],0
295,[[0.30717037]],0
296,[[0.3533652]],0
297,[[0.35174653]],1
298,[[0.29079338]],1
299,[[0.34534345]],0
300,[[0.35267325]],0
301,[[0.29459632]],0
302,[[0.30674449]],0
303,[[0.43018379]],0
304,[[0.2568031]],0
305,[[0.3188101]],0
306,[[0.22752983]],0
307,[[0.25424305]],0
308,[[0.30905321]],0
309,[[0.30684706]],0
310,[[0.2602664]],0
311,[[0.21626604]],0
312,[[0.330165]],0
313,[[0.32088205]],0
314,[[0.3149213]],0
315,[[0.31791996]],0
316,[[0.27049435]],0
317,[[0.30415004]],0
318,[[0.35068189]],0
319,[[0.29302296]],0
320,[[0.29655156]],0
321,[[0.29148011]],0
322,[[0.32015804]],0
323,[[0.28913169]],0
324,[[0.18459129]],0
325,[[0.177545]],0
326,[[0.20919409]],0
327,[[0.202419]],0
328,[[0.20723509]],0
329,[[0.20314518]],0
330,[[0.37345715]],0
331,[[0.29538064]],0
332,[[0.25860784]],0
333,[[0.26444315]],0
334,[[0.3034047]],0
335,[[0.23461587]],0
336,[[0.26044015]],0
337,[[0.31813902]],0
338,[[0.26700022]],0
339,[[0.3229043]],0
340,[[0.33042974]],0
341,[[0.27189554]],0
342,[[0.23067254]],0
343,[[0.31743505]],0
344,[[0.23526041]],0
345,[[0.30540457]],0
346,[[0.22790655]],0
347,[[0.31474246]],0
348,[[0.28518381]],0
349,[[0.23932584]],0
350,[[0.26650927]],0
351,[[0.18951608]],0
352,[[0.24529732]],0
353,[[0.30819671]],0
354,[[0.26366382]],0
355,[[0.29770663]],0
356,[[0.31104478]],0
357,[[0.32318846]],0
358,[[0.27936025]],0
359,[[0.28145222]],0
360,[[0.4046685]],0
361,[[0.36164998]],0
362,[[0.29676915]],0
363,[[0.30879789]],0
364,[[0.37878218]],0
365,[[0.36452905]],0
366,[[0.40968255]],0
367,[[0.39787879]],0
368,[[0.32702052]],0
369,[[0.28684336]],0
370,[[0.31943826]],0
371,[[0.27480244]],0
372,[[0.23302238]],0
373,[[0.31061811]],0
374,[[0.21624046]],0
375,[[0.22270327]],0
376,[[0.31984665]],0
377,[[0.28003153]],0
378,[[0.3542288]],0
379,[[0.27320604]],0
380,[[0.3789071]],0
381,[[0.33501703]],0
382,[[0.29841838]],0
383,[[0.37399656]],0
384,[[0.36760267]],0
385,[[0.28030959]],0
386,[[0.28978058]],0
387,[[0.36402339]],0
388,[[0.34950613]],0
389,[[0.254547]],0
390,[[0.36390439]],0
391,[[0.29647834]],0
392,[[0.28040051]],0
393,[[0.28867674]],0
394,[[0.33090128]],0
395,[[0.39209626]],0
396,[[0.28832152]],0
397,[[0.25029521]],0
398,[[0.4222402]],0
399,[[0.41155914]],0
400,[[0.31593825]],0
401,[[0.26577889]],0
402,[[0.19904204]],0
403,[[0.23620614]],0
404,[[0.34070577]],0
405,[[0.33592833]],0
406,[[0.36195133]],0
407,[[0.24614365]],0
408,[[0.24250186]],0
409,[[0.18399724]],0
410,[[0.22626761]],0
411,[[0.25125753]],0
412,[[0.20165321]],0
413,[[0.27049873]],0
414,[[0.39155352]],0
415,[[0.25717286]],0
416,[[0.30729838]],0
417,[[0.30598698]],0
418,[[0.26483594]],0
419,[[0.2556356]],0
420,[[0.20825061]],0
421,[[0.20825964]],0
422,[[0.22477539]],0
423,[[0.51681874]],0
424,[[0.23408295]],0
425,[[0.3265729]],0
426,[[0.25377863]],0
427,[[0.23482072]],0
428,[[0.26628426]],0
429,[[0.23523711]],0
430,[[0.31410384]],0
431,[[0.30232314]],0
432,[[0.25957965]],0
433,[[0.24485628]],0
434,[[0.1993344]],0
435,[[0.16414119]],0
436,[[0.17179074]],0
437,[[0.17930241]],0
438,[[0.24086252]],0
439,[[0.55975162]],0
440,[[0.57624466]],0
